cc-d-01.02.03.01,"Ständige Wohnbevölkerung nach Staatsangehörigkeitskategorie, Geschlecht und Gemeinde, am 31.12.2024",,,,,,,,
,Provisorische Jahresergebnisse,,,,,,,,
"Kanton, Bezirk und Gemeinde",Total,,,Schweizer,,,Ausländer 1,,
,Total,Mann,Frau,Total,Mann,Frau,Total,Mann,Frau
......0158 Stäfa,15150,7346,7804,11913,5718,6195,3237,1628,1609
......0159 Uetikon am See,6663,3238,3425,5147,2493,2654,1516,745,771
......0160 Zumikon,5753,2767,2986,4281,2045,2236,1472,722,750
......0161 Zollikon,13579,6560,7019,9939,4769,5170,3640,1791,1849
>> Bezirk Pfäffikon,63578,31697,31881,50259,24656,25603,13319,7041,6278
......0172 Fehraltorf,6883,3428,3455,5490,2694,2796,1393,734,659
......0173 Hittnau,3968,1967,2001,3605,1764,1841,363,203,160
......0176 Lindau,5865,3037,2828,4610,2321,2289,1255,716,539
......0177 Pfäffikon,12748,6241,6507,10116,4862,5254,2632,1379,1253
......0178 Russikon,4633,2315,2318,3949,1962,1987,684,353,331
......0180 Weisslingen,3496,1754,1742,3047,1516,1531,449,238,211
......0181 Wila,2113,1068,1045,1782,886,896,331,182,149
......0182 Wildberg,1013,502,511,924,456,468,89,46,43
......0296 Illnau-Effretikon,17749,8820,8929,12552,6121,6431,5197,2699,2498
......0297 Bauma,5110,2565,2545,4184,2074,2110,926,491,435
>> Bezirk Uster,141546,70370,71176,101957,49795,52162,39589,20575,19014
......0191 Dübendorf,32547,16429,16118,20283,9962,10321,12264,6467,5797
......0192 Egg,8813,4282,4531,6881,3296,3585,1932,986,946
......0193 Fällanden,9634,4703,4931,7150,3461,3689,2484,1242,1242
......0194 Greifensee,5419,2673,2746,4154,2032,2122,1265,641,624
......0195 Maur,10882,5409,5473,8400,4138,4262,2482,1271,1211
......0196 Mönchaltorf,4309,2107,2202,3474,1668,1806,835,439,396
......0197 Schwerzenbach,5248,2600,2648,3748,1839,1909,1500,761,739
......0198 Uster,36555,17968,18587,27329,13174,14155,9226,4794,4432
......0199 Volketswil,19850,9973,9877,14598,7226,7372,5252,2747,2505
......0200 Wangen-Brüttisellen,8289,4226,4063,5940,2999,2941,2349,1227,1122
>> Bezirk Winterthur,182026,90348,91678,139894,68307,71587,42132,22041,20091
......0211 Altikon,774,388,386,696,347,349,78,41,37
......0213 Brütten,2246,1118,1128,2021,999,1022,225,119,106
......0214 Dägerlen,1159,578,581,1045,519,526,114,59,55
......0215 Dättlikon,839,410,429,782,384,398,57,26,31
......0216 Dinhard,1731,865,866,1556,772,784,175,93,82
......0218 Ellikon an der Thur,1023,495,528,901,426,475,122,69,53
......0219 Elsau,3896,1943,1953,3216,1580,1636,680,363,317
......0220 Hagenbuch,1168,600,568,1032,532,500,136,68,68
